Address,Location,Price,Beds,Baths,Sqft
1234 Stone Post Road,"Charleston, SC 29412",650000,4 br,3 ba,2191
34 Sheppard Street,"Charleston, SC 29403",371600,2 br,1 b,929
8 Dewey St UNIT C,"Charleston, SC 29403",450000,1 br,1 b,460
181 River Green Place,"Charleston, SC 29492",4500000,5 br,"5 ba, 1 Half Bath",4432
150 Bee Street UNIT #808,"Charleston, SC 29401",500000,1 br,"1 ba, 1 Half Bat",964
637 Pasdalum Court,"Charleston, SC 29414",579000,4 br,3 ba,2574
974 Fort Sumter Drive,"Charleston, SC 29412",1275000,4 br,"3 ba, 1 Half Bath",3040
150 Bee Street,"Charleston, SC 29401",475000,1 br,"1 ba, 1 Half Bat",951
1927 Capri Drive,"Charleston, SC 29407",1200000,3 br,"2 ba, 1 Half Bath",2852
3014 Scuba Drive,"Charleston, SC 29414",500000,3 br,"2 ba, 1 Half Bath",1906
1265 Island Club Drive UNIT A,"Charleston, SC 29492",345000,3 br,"2 ba, 1 Half Bath",1642
2157 Sol Legare Road,"Charleston, SC 29412",1650000,4 br,"4 ba, 1 Half Bath",2933
139 Rowans Creek Drive,"Charleston, SC 29492",475000,3 br,"2 ba, 2 Half Bath",1860
1635 Folly Creek Way UNIT D-1,"Charleston, SC 29412",1080000,3 br,3 ba,1738
13 Anita Drive,"Charleston, SC 29407",464900,2 br,2 b,900
1563 Pixley Street,"Charleston, SC 29414",541000,4 br,3 ba,2445
27 Gadsden Street,"Charleston, SC 29401",2195000,4 br,"3 ba, 1 Half Bath",2640
108 S Battery Street,"Charleston, SC 29401",2900000,5 br,"2 ba, 1 Half Bath",3761
3193 Landing Parkway,"Charleston, SC 29420",399900,4 br,2 ba,2013
2120 Booker Street,"Charleston, SC 29405",550000,4 br,"2 ba, 1 Half Bath",2267
5 Talon Court,"Charleston, SC 29403",880000,2 br,"1 ba, 1 Half Bath",1360
156 Tradd Street UNIT E,"Charleston, SC 29401",1595000,3 br,"3 ba, 2 Half Bath",2391
723 James Drive,"Charleston, SC 29412",575000,3 br,2 ba,1633
119 Dorothy Drive,"Charleston, SC 29414",339900,2 br,"2 ba, 1 Half Bath",1669
1162 Barfield Street,"Charleston, SC 29492",675000,3 br,"2 ba, 1 Half Bath",1520
330 Concord Street,"Charleston, SC 29401",530000,2 br,2 ba,1219
5 Gadsdenboro Street UNIT #412,"Charleston, SC 29401",574900,1 br,1 b,794
152 Low Tide,"Charleston, SC 29492",1689990,4 br,3 ba,2842
1511 Scott Hill Rd,"Charleston, SC 29412",259000,2 br,1 b,720
2032 Telfair Way UNIT #2032,"Charleston, SC 29414",350000,2 br,2 ba,1120
1235 White Tail,"Charleston, SC 29414",675000,4 br,"2 ba, 1 Half Bath",3436
821 Hitching Post Road,"Charleston, SC 29414",312500,3 br,2 ba,1611
2135 S Dallerton Circle,"Charleston, SC 29414",350000,4 br,2 ba,1437
33 Lockwood Drive UNIT Lu196 - Slip I-19,"Charleston, SC 29401",59900,n/a ,", n/a b",1
1232 Wando Shores,"Charleston, SC 29492",409900,3 br,2 ba,1404
1147 Lighthouse Boulevard,"Charleston, SC 29412",435000,3 br,"1 ba, 1 Half Bath",1066
5396 Greggs Landing Drive,"Charleston, SC 29420",459900,4 br,"2 ba, 1 Half Bath",2302
123 Cannon Street,"Charleston, SC 29403",3300000,6 br,"4 ba, 1 Half Bath",3180
35 Lolandra Avenue,"Charleston, SC 29407",799000,3 br,2 ba,1800
84 Logan Street,"Charleston, SC 29401",1195000,3 br,"2 ba, 1 Half Bath",1472
1002 Washitonia Way UNIT B,"Charleston, SC 29492",305000,2 br,"2 ba, 1 Half Bath",1322
