,Address,Location,Price,Beds,Baths,Sqft
114,26 Water Street,"Charleston, SC 29401","$2,495,000",3 br,"3 ba, 1 Half Bath",2476 Sqft
115,815 Bent Hickory,"Charleston, SC 29414","$399,000",3 br,"2 ba, 1 Half Bath",1426 Sqft
116,7 Wentworth Street,"Charleston, SC 29401","$1,375,000",3 br,2 ba,1730 Sqft
117,1546 Bluewater Way,"Charleston, SC 29414","$331,000Reduced  -$4,000 ",3 br,"2 ba, 2 Half Bath",1524 Sqft
118,764 Sterling Drive,"Charleston, SC 29412","$585,000Reduced  -$4,000 ",4 br,2 ba,2483 Sqft
119,121 Claret Cup Way,"Charleston, SC 29414","$417,000",3 br,"3 ba, 1 Half Bath",2394 Sqft
120,2494 Etiwan Avenue UNIT J-2,"Charleston, SC 29414","$219,000",2 br,"1 ba, 1 Half Bat", 924 Sqft
121,150 Bee Street UNIT #310,"Charleston, SC 29401","$895,000",3 br,"3 ba, 1 Half Bath",2053 Sqft
122,124 Fairbanks Oak Aly UNIT 3b,"Charleston, SC 29492","$1,629,000",3 br,3 ba,2855 Sqft
123,2115 Westrivers Road,"Charleston, SC 29412","$595,000",2 br,2 b, 939 Sqft
124,658 Harbor Creek Place UNIT #29,"Charleston, SC 29412","$585,000",3 br,"3 ba, 1 Half Bath",1962 Sqft
125,20 Sheppard Street,"Charleston, SC 29403","$749,000",3 br,3 ba,1121 Sqft
126,1402 Camp Road UNIT 10a,"Charleston, SC 29412","$280,000",3 br,2 ba,1151 Sqft
127,235 Delahow Street,"Charleston, SC 29492","$2,250,000",5 br,"5 ba, 1 Half Bath",4590 Sqft
128,2143 Forest Lakes Blvd,"Charleston, SC 29414","$415,000",3 br,2 ba,1252 Sqft
129,3009 Amberbrook Lane,"Charleston, SC 29414","$650,000",4 br,"3 ba, 1 Half Bath",2758 Sqft
130,30 1/2 F Street,"Charleston, SC 29403","$599,900",3 br,2 ba,1063 Sqft
131,33 Lockwood Drive UNIT B-12,"Charleston, SC 29401","$59,500",n/a ,", n/a b", 760 Sqft
132,2016 Sanders House,"Charleston, SC 29492","$574,995Reduced  -$67,000 ",3 br,2 ba,2091 Sqft
133,702 E Marymount Lane,"Charleston, SC 29414","$290,000Reduced  -$5,000 ",2 br,2 ba,1320 Sqft
134,193 Line Street,"Charleston, SC 29403","$449,000",4 br,2 ba,1410 Sqft
135,1060 Harriman Lane,"Charleston, SC 29492","$820,000",4 br,"3 ba, 1 Half Bath",3443 Sqft
136,330 Concord Street UNIT Th19,"Charleston, SC 29401","$975,000Reduced  -$50,000 ",2 br,"2 ba, 1 Half Bath",1670 Sqft
137,1570 Charming Nancy,"Charleston, SC 29412","$1,245,900",4 br,3 ba,2209 Sqft
138,938 Trent Street,"Charleston, SC 29414","$520,000",4 br,"2 ba, 1 Half Bath",2292 Sqft
139,30 Athens Court,"Charleston, SC 29403","$389,000",3 br,"2 ba, 1 Half Bath",1190 Sqft
140,39 Poinsett Street,"Charleston, SC 29403","$499,000",4 br,2 ba,1322 Sqft
141,8363 Coventry Court,"Charleston, SC 29420","$330,000",4 br,"2 ba, 1 Half Bath",1959 Sqft
142,45 Sycamore Avenue UNIT #222,"Charleston, SC 29407","$335,000",3 br,2 ba,1221 Sqft
143,109 Fulmar Place,"Charleston, SC 29414","$399,990",3 br,"2 ba, 1 Half Bath",1764 Sqft
144,118 Smith Street,"Charleston, SC 29403","$1,150,000",4 br,3 ba,2259 Sqft
145,169 1/2 Tradd Street,"Charleston, SC 29401","$965,000Reduced  -$10,000 ",2 br,2 ba,1719 Sqft
146,7035 Windmill Creek,"Charleston, SC 29414","$398,500",3 br,2 ba,1651 Sqft
147,2647 Lake Myrtle,"Charleston, SC 29414","$314,900Reduced  -$15,000 ",3 br,"2 ba, 1 Half Bath",1574 Sqft
148,2124 Forest Lakes,"Charleston, SC 29414","$630,000Reduced  -$10,000 ",5 br,3 ba,3213 Sqft
149,121 Sea Cotton Circle,"Charleston, SC 29412","$525,000",4 br,2 ba,1862 Sqft
150,449 Blue Dragonfly,"Charleston, SC 29414","$439,000",3 br,2 ba,1712 Sqft
151,433 Minim Street,"Charleston, SC 29414","$474,500Reduced  -$4,500 ",5 br,"2 ba, 1 Half Bath",2189 Sqft
152,700 Daniel Ellis Drive UNIT #3101,"Charleston, SC 29412","$310,000",3 br,2 ba,1394 Sqft
153,"71 Vanderhorst Street UNIT A, B, C","Charleston, SC 29403","$2,500,000",9 br,4 ba,3124 Sqft
154,82 Nassau Street,"Charleston, SC 29403","$895,000",4 br,4 ba,2416 Sqft
155,1429 Brookbank Avenue,"Charleston, SC 29412","$835,000",4 br,"2 ba, 1 Half Bath",2606 Sqft
156,1501 Whitby Lane,"Charleston, SC 29414","$285,000",2 br,2 ba,1320 Sqft
157,14 Gadsden Street,"Charleston, SC 29401","$1,795,000Reduced  -$200,000 ",4 br,"3 ba, 1 Half Bath",3597 Sqft
158,14 Logan Street,"Charleston, SC 29401","$3,250,000",4 br,"3 ba, 1 Half Bath",3507 Sqft
159,2366 Erskine Avenue,"Charleston, SC 29414","$529,000Reduced  -$20,000 ",3 br,2 ba,1814 Sqft
160,33 Ashley Avenue,"Charleston, SC 29401","$715,000",2 br,"1 ba, 1 Half Bath",1334 Sqft
161,2426 Quail Hollow,"Charleston, SC 29414","$225,000",2 br,"1 ba, 1 Half Bath",1056 Sqft
162,933 Ashley Avenue,"Charleston, SC 29403","$599,000",2 br,1 ba,1410 Sqft
163,145 Pier View Street UNIT #215,"Charleston, SC 29492","$669,000",3 br,"2 ba, 1 Half Bath",1724 Sqft
164,14 Sallys Alley,"Charleston, SC 29407","$600,000",3 br,2 ba,2124 Sqft
165,1549 S Pinebark Lane,"Charleston, SC 29407","$689,999",3 br,"2 ba, 1 Half Bath",2010 Sqft
166,202 Cabrill Drive,"Charleston, SC 29414","$380,000",3 br,2 ba,1236 Sqft
167,1144 Rembert Road,"Charleston, SC 29412","$525,000",3 br,2 ba,1567 Sqft
168,519 Parkdale Drive UNIT E,"Charleston, SC 29414","$219,800Reduced  -$100 ",2 br,"1 ba, 1 Half Bath",1050 Sqft
169,415 Parkdale Drive UNIT 14b,"Charleston, SC 29414","$240,000",3 br,"1 ba, 1 Half Bath",1106 Sqft
170,404 Hainsworth Drive,"Charleston, SC 29414","$345,000Reduced  -$15,000 ",3 br,2 ba,1534 Sqft
171,35 Society Street UNIT #1,"Charleston, SC 29401","$950,000",2 br,1 ba,1157 Sqft
172,130 Martins Point,"Charleston, SC 29492","$625,000",3 br,"2 ba, 1 Half Bath",1917 Sqft
173,1574 Charming Nancy,"Charleston, SC 29412","$1,345,900",4 br,"3 ba, 1 Half Bath",2509 Sqft
174,2044 Egret Lane,"Charleston, SC 29414","$840,000Reduced  -$10,000 ",4 br,"3 ba, 1 Half Bath",3479 Sqft
175,1 Vendue Range UNIT F,"Charleston, SC 29401","$1,795,000",2 br,"2 ba, 1 Half Bath",1664 Sqft
176,1432 Water Edge,"Charleston, SC 29492","$525,000Increase  +$25,000 ",4 br,"2 ba, 1 Half Bath",2192 Sqft
177,3125 Mulan Lane,"Charleston, SC 29414","$525,000Reduced  -$10,000 ",3 br,"2 ba, 1 Half Bath",2480 Sqft
178,316 Weeping Willow,"Charleston, SC 29414","$369,900",3 br,"2 ba, 1 Half Bath",1536 Sqft
179,1829 Dogwood Road UNIT #504,"Charleston, SC 29414","$279,900",3 br,3 ba,1526 Sqft
180,4041 Hartland Street,"Charleston, SC 29414","$329,990",2 br,"2 ba, 1 Half Bath",1216 Sqft
181,"90 Spring Street UNIT A,B","Charleston, SC 29403","$3,240,000",9 br,"6 ba, 1 Half Bath",2728 Sqft
182,1904 Bairds Cove,"Charleston, SC 29414","$519,900",3 br,2 ba,2101 Sqft
183,415 Parkdale Drive UNIT 18b,"Charleston, SC 29414","$239,000Reduced  -$10,999 ",2 br,"1 ba, 1 Half Bat", 868 Sqft
184,71 Delahow Street,"Charleston, SC 29492","$2,850,000",4 br,"4 ba, 1 Half Bath",3747 Sqft
185,1854 Christian Road,"Charleston, SC 29407","$549,999Reduced  -$5,000 ",4 br,3 ba,2125 Sqft
186,1687 Seabago Drive,"Charleston, SC 29414","$539,000",4 br,3 ba,2443 Sqft
187,859 Hopewell Drive,"Charleston, SC 29492","$627,280Reduced  -$29,500 ",3 br,"2 ba, 1 Half Bath",1978 Sqft
188,1248 Seton Place,"Charleston, SC 29407","$1,395,000",4 br,"2 ba, 1 Half Bath",2879 Sqft
189,1589 Westwood Drive,"Charleston, SC 29412","$368,900",3 br,"1 ba, 1 Half Bath",1236 Sqft
190,2056 Marshland Drive,"Charleston, SC 29414","$385,000",3 br,2 ba,3000 Sqft
191,1209 Smythe Street,"Charleston, SC 29492","$2,175,000Reduced  -$20,000 ",5 br,"3 ba, 1 Half Bath",3920 Sqft
192,2221 Generals Street,"Charleston, SC 29492","$664,263Reduced  -$42,000 ",3 br,2 ba,2180 Sqft
